,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,223,108.0,0.0,0.0,108.0,107.5,108.0,0.0,110.0,101.6,107.75,103.7,108.5,112.0,108.3,107.86,106.64,106.97,108.15,107.74,107.2,107.42,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0676,0.0042,LOW,-81.9719,50.0,-50.0,816.0,1074.0,860.0,88077.0,116165.33,93052.0,Dragonfly Doji,None,None,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,226,109.0,5.0,0.0481,109.0,109.0,109.0,0.0,110.0,102.0,103.1,100.0,110.0,114.0,108.03,108.3,107.09,106.7,107.82,107.83,107.43,107.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.8591,-0.10400000000000001,0.0141,LOW,64.4038,51.6908,-14.4928,2702.0,2149.33,1713.0,287487.8,229325.4,182901.55,White Marubozu,None,None,0.0686,0.0187,0.0187,0.0,54500.0,270720.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,224,110.0,1.0,0.0092,110.0,110.0,110.0,0.0,110.0,101.6,109.0,103.7,112.0,121.0,108.48,108.44,107.09,106.81,108.74,108.18,107.56,107.58,UPTREND,SIDEWAYS,SIDEWAYS,64.405,0.2049,0.0041,LOW,175.6757,91.6667,0.0,1011.0,870.0,791.5,109909.5,94437.2,85814.4,White Marubozu,None,Three White Soldiers,0.0784,0.0185,0.0046,0.0,162500.0,303120.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,226,104.7,-4.3,-0.0394,104.5,104.5,104.7,0.0,110.0,102.0,103.1,100.0,109.0,114.0,107.87,108.24,107.11,106.68,107.52,107.71,107.37,107.49,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.1476,-0.1906,0.0167,LOW,-169.593,40.5797,-76.8116,2649.0,2110.67,1730.0,281518.0,225028.67,184644.65,White Marubozu,None,None,0.0265,-0.0215,-0.0215,0.0,54500.0,195050.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,221,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,109.0,114.0,108.12,106.61,105.6,107.17,107.99,107.0,106.59,107.2,UPTREND,SIDEWAYS,SIDEWAYS,51.7597,0.7176,0.0079,LOW,-5.045,33.3333,-66.6667,944.0,930.67,715.5,102008.4,100367.53,77155.6,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,-0.0092,-0.0092,53410.0,54509.0,54509.0,77411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,221,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,109.0,114.0,108.48,107.4,106.33,107.05,108.3,107.66,107.08,107.38,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.2779,0.0057,LOW,-86.7347,0.0,-100.0,1325.0,933.33,1037.0,143454.0,101067.0,112221.25,White Marubozu,Tweezer Bottoms,None,0.0588,0.0,-0.0092,32550.0,201380.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,226,104.0,-3.0,-0.027999999999999997,107.1,104.0,107.1,0.0,110.0,102.0,103.1,100.0,110.0,114.0,107.98,108.28,107.04,106.73,107.7,107.79,107.39,107.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.7248,-0.0468,0.0122,LOW,-197.5725,0.0,-86.9565,2659.0,2162.67,1713.0,282800.8,230698.73,182851.55,Black Marubozu,Bearish Engulfing,None,0.0196,-0.027999999999999997,-0.027999999999999997,0.0,162500.0,303120.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,224,110.0,1.0,0.0092,110.0,110.0,110.0,0.0,110.0,101.6,109.0,103.7,112.0,121.0,108.48,108.44,107.09,106.81,108.74,108.18,107.56,107.58,UPTREND,SIDEWAYS,SIDEWAYS,64.405,0.2049,0.0041,LOW,175.6757,91.6667,0.0,1011.0,870.0,791.5,109909.5,94437.2,85814.4,White Marubozu,None,Three White Soldiers,0.0784,0.0185,0.0046,0.0,162500.0,303120.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,226,109.0,0.0,0.0,109.0,109.0,109.0,0.0,110.0,102.0,106.5,103.1,110.0,114.0,107.48,107.96,107.22,106.58,107.5,107.6,107.35,107.46,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.7758,-0.3067,0.0155,LOW,50.6891,73.43,-14.4928,10805.0,8550.0,6732.0,1138456.6,901088.6,710628.7,White Marubozu,Bullish Harami,Three White Soldiers,0.0686,0.0187,0.0,0.0,0.0,162500.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,221,108.0,0.0,0.0,109.0,108.0,109.0,32400.0,110.0,101.2,107.5,103.7,109.0,114.0,108.65,107.15,105.95,107.07,108.36,107.5,106.93,107.33,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.8343,0.5013,0.0062,LOW,-33.5404,33.3333,-100.0,204.0,570.0,659.5,22121.5,61655.0,71226.45,Black Marubozu,Bearish Engulfing,None,0.0588,-0.0092,-0.0092,32400.0,146570.0,147669.0,149771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,226,107.0,3.9,0.0378,104.0,104.0,107.0,0.0,110.0,102.0,103.1,100.0,110.0,114.0,108.18,108.35,107.06,106.75,108.08,107.94,107.46,107.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.9423,0.0679,0.0105,LOW,-166.7983,0.0,-43.4783,898.0,930.67,812.0,97309.8,100726.07,87856.05,White Marubozu,None,Three White Soldiers,0.049,-0.0093,-0.0273,0.0,162500.0,303120.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,221,109.0,0.5,0.0046,109.0,109.0,109.0,0.0,110.0,101.2,108.0,103.7,110.0,114.0,108.38,106.85,105.82,107.12,108.25,107.26,106.76,107.26,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.3737,0.6199,0.006999999999999999,LOW,69.6418,61.1111,-33.3333,761.0,816.67,740.0,82272.5,88161.93,79820.2,White Marubozu,None,Three White Soldiers,0.0686,0.0,0.0046,60760.0,115269.0,115269.0,138171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.5,103.7,109.0,114.0,108.38,107.65,106.55,107.02,108.2,107.71,107.15,107.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.14,0.0048,LOW,-66.2177,50.0,-50.0,1504.0,1065.33,854.0,162692.0,115268.0,92406.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,221,109.9,0.4,0.0037,109.9,109.9,109.9,1099.0,109.9,101.2,107.25,103.7,112.0,118.9,107.43,106.25,105.33,107.26,107.53,106.56,106.33,107.11,UPTREND,SIDEWAYS,SIDEWAYS,62.2183,0.6221,0.0084,LOW,245.8909,100.0,0.0,719.0,507.33,640.5,77367.9,54588.47,68455.05,White Marubozu,None,Three White Soldiers,0.0775,0.0233,0.0037,1099.0,1099.0,3201.0,61209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,221,108.0,-1.0,-0.0092,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,109.0,114.0,108.67,107.34,106.21,107.06,108.37,107.63,107.04,107.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.3544,0.0059,LOW,-94.2189,50.0,-100.0,929.0,1068.0,844.5,100702.0,115610.33,91433.2,White Marubozu,None,Three White Soldiers,0.0588,-0.0092,-0.0092,140620.0,201380.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,226,104.7,0.0,0.0,104.7,104.7,104.7,0.0,110.0,102.0,104.0,100.0,109.0,114.0,107.7,108.18,107.13,106.66,107.25,107.59,107.32,107.46,DOWNTREND,SIDEWAYS,SIDEWAYS,43.1476,-0.2906,0.0155,LOW,-133.0357,43.9614,-76.8116,2216.0,2050.0,1731.0,234273.5,218454.67,184736.15,White Marubozu,Bullish Harami,Three White Soldiers,0.0265,-0.0215,0.0,0.0,54500.0,162500.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,221,110.0,0.1,0.0009,107.0,107.0,110.0,0.0,110.0,101.2,107.5,103.7,112.0,121.0,107.56,106.33,105.4,107.24,107.77,106.7,106.4,107.14,UPTREND,SIDEWAYS,SIDEWAYS,62.5571,0.6838,0.0097,LOW,136.1429,100.0,0.0,722.0,504.67,649.0,77709.3,54312.8,69377.05,White Marubozu,None,Three White Soldiers,0.0784,0.0242,0.0046,1099.0,1099.0,3201.0,61209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,223,109.0,1.0,0.0093,108.0,108.0,109.0,0.0,110.0,101.6,107.95,103.7,110.0,114.0,108.13,108.12,106.82,106.89,108.18,107.84,107.31,107.47,SIDEWAYS,SIDEWAYS,SIDEWAYS,63.937,0.0089,0.0034,LOW,162.963,66.6667,0.0,767.0,892.0,1101.0,82902.3,96346.87,119071.65,White Marubozu,None,Three White Soldiers,0.0686,0.0093,0.0093,108000.0,108000.0,309380.0,363889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
18,226,105.1,0.1,0.001,105.1,105.1,105.1,0.0,110.0,102.0,104.6,101.2,109.0,114.0,107.41,108.03,107.1,106.62,106.85,107.4,107.23,107.41,DOWNTREND,SIDEWAYS,SIDEWAYS,44.2734,-0.4771,0.0161,LOW,-90.8391,26.57,-71.0145,12780.0,8946.0,7002.0,1346730.4,944236.6,739801.1,White Marubozu,Bullish Harami,None,0.0304,-0.0178,0.0038,0.0,54500.0,162500.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12
19,221,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,110.0,114.0,108.1,106.57,105.57,107.17,107.99,106.96,106.56,107.19,UPTREND,SIDEWAYS,SIDEWAYS,51.7597,0.7472,0.0085,LOW,-2.2958,44.4444,-66.6667,1115.0,913.33,706.0,120331.4,98485.93,76121.85,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,-0.0092,-0.0092,53410.0,54509.0,54509.0,90814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-04
20,221,108.5,0.5,0.0046,108.5,108.5,108.5,6510.0,110.0,101.2,108.0,103.7,109.0,114.0,108.17,106.66,105.65,107.15,108.04,107.06,106.63,107.21,UPTREND,SIDEWAYS,SIDEWAYS,54.3991,0.6876,0.0076,LOW,42.5457,38.8889,-50.0,886.0,902.0,718.5,95747.9,97293.87,77481.6,White Marubozu,None,Three White Soldiers,0.0637,-0.0046,0.0046,6510.0,61019.0,61019.0,83921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-09
21,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.5,103.7,109.0,114.0,108.38,107.75,106.58,107.02,108.18,107.72,107.17,107.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.1127,0.0045,LOW,-66.2177,50.0,-50.0,1084.0,1068.67,839.0,117325.0,115618.0,90786.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-18
22,221,109.0,0.5,0.0046,109.0,109.0,109.0,0.0,110.0,101.2,108.0,103.7,110.0,114.0,108.38,106.85,105.82,107.12,108.25,107.26,106.76,107.26,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.3737,0.6199,0.006999999999999999,LOW,69.6418,61.1111,-33.3333,761.0,816.67,740.0,82272.5,88161.93,79820.2,White Marubozu,None,Three White Soldiers,0.0686,0.0,0.0046,60760.0,115269.0,115269.0,138171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-17
23,220,108.0,0.0,0.0,108.0,108.0,108.0,0.0,112.0,101.2,107.2,103.1,109.9,114.0,106.92,106.11,105.17,107.29,107.05,106.3,106.19,107.06,UPTREND,SIDEWAYS,SIDEWAYS,55.5161,0.5292,0.0085,LOW,79.8982,96.124,0.0,724.0,839.33,692.0,77900.8,89695.8,73906.8,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0056,0.0,0.0,0.0,2102.0,91010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-15
24,223,109.5,0.0,0.0,109.5,109.5,109.5,0.0,110.0,101.6,108.0,103.7,110.0,114.0,108.25,108.32,106.97,106.85,108.46,108.01,107.44,107.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,62.9002,0.0969,0.004,LOW,223.8894,83.3333,0.0,1217.0,963.33,1016.5,132087.3,104473.53,110082.15,White Marubozu,Bullish Harami,None,0.0735,0.0139,0.0046,54500.0,162500.0,357370.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-13
25,221,108.5,-0.5,-0.0046,108.5,108.5,108.5,54250.0,110.0,101.2,108.0,103.7,109.0,114.0,108.3,106.79,105.76,107.12,108.17,107.19,106.71,107.24,UPTREND,SIDEWAYS,SIDEWAYS,53.7175,0.6398,0.0072,LOW,28.0013,55.5556,-50.0,760.0,919.33,740.0,82164.4,99196.93,79818.6,White Marubozu,None,Three White Soldiers,0.0637,-0.0046,0.0046,60760.0,115269.0,115269.0,138171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-13
26,224,107.0,3.9,0.0378,104.0,104.0,107.0,0.0,110.0,102.0,103.1,100.0,110.0,114.0,108.18,108.35,107.06,106.75,108.08,107.94,107.46,107.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.9423,0.0679,0.0105,LOW,-166.7983,0.0,-43.4783,898.0,930.67,812.0,97309.8,100726.07,87856.05,White Marubozu,None,Three White Soldiers,0.049,-0.0093,-0.0273,0.0,162500.0,303120.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26
27,226,109.0,0.0,0.0,109.0,109.0,109.0,0.0,110.0,102.0,104.7,101.2,110.0,114.0,107.51,107.99,107.16,106.62,107.24,107.52,107.3,107.44,DOWNTREND,SIDEWAYS,SIDEWAYS,54.3109,-0.4592,0.0157,LOW,53.1781,66.6667,-14.4928,12765.0,8839.33,6888.0,1345077.4,932641.27,727493.45,White Marubozu,Bullish Harami,Three White Soldiers,0.0686,0.0187,0.0371,0.0,0.0,162500.0,418389.0,882049.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-17
28,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.75,103.7,109.0,114.0,108.13,108.05,106.77,106.9,108.1,107.78,107.26,107.44,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0096,0.0032,LOW,-35.5556,50.0,-50.0,664.0,966.0,991.5,71655.3,104482.87,107223.15,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,108000.0,309380.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-29
29,221,108.5,0.5,0.0046,108.5,108.5,108.5,32550.0,110.0,101.2,108.0,103.7,109.0,114.0,108.7,107.24,106.08,107.04,108.34,107.56,106.98,107.34,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.7782,0.4155,0.0057,LOW,-22.8438,0.0,-50.0,617.0,832.67,751.5,66744.0,90003.0,81245.95,White Marubozu,None,None,0.0637,-0.0046,-0.0046,140620.0,201380.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-26
30,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.75,103.7,109.0,114.0,108.13,108.05,106.77,106.9,108.1,107.78,107.26,107.44,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0096,0.0032,LOW,-35.5556,50.0,-50.0,664.0,966.0,991.5,71655.3,104482.87,107223.15,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,108000.0,309380.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-30
31,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.5,103.7,108.5,112.0,108.38,107.6,106.5,107.01,108.22,107.7,107.13,107.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.1704,0.0052,LOW,-66.2177,0.0,-50.0,1435.0,1000.0,1086.5,155241.0,108213.33,117516.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-10
32,224,110.0,1.0,0.0092,110.0,110.0,110.0,0.0,110.0,101.6,109.0,103.7,112.0,121.0,108.48,108.44,107.09,106.81,108.74,108.18,107.56,107.58,UPTREND,SIDEWAYS,SIDEWAYS,64.405,0.2049,0.0041,LOW,175.6757,91.6667,0.0,1011.0,870.0,791.5,109909.5,94437.2,85814.4,White Marubozu,None,Three White Soldiers,0.0784,0.0185,0.0046,0.0,162500.0,303120.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-22
33,221,108.5,0.5,0.0046,108.5,108.5,108.5,6510.0,110.0,101.2,108.0,103.7,109.0,114.0,108.17,106.66,105.65,107.15,108.04,107.06,106.63,107.21,UPTREND,SIDEWAYS,SIDEWAYS,54.3991,0.6876,0.0076,LOW,42.5457,38.8889,-50.0,886.0,902.0,718.5,95747.9,97293.87,77481.6,White Marubozu,None,Three White Soldiers,0.0637,-0.0046,0.0046,6510.0,61019.0,61019.0,83921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-10
34,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.95,103.7,108.5,112.0,108.08,108.06,106.79,106.89,108.09,107.79,107.28,107.45,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0005,0.0029,LOW,-30.303,50.0,-50.0,726.0,876.0,1054.5,78402.3,94570.87,114013.65,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,108000.0,309380.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-04
35,222,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,109.0,114.0,108.43,107.52,106.39,107.04,108.27,107.67,107.1,107.39,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.2399,0.0053,LOW,-78.6325,0.0,-100.0,1319.0,934.67,1017.0,142791.0,101208.67,110036.75,White Marubozu,Bullish Harami,None,0.0588,0.0,-0.0092,0.0,194870.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-07
36,223,109.5,0.0,0.0,109.5,109.5,109.5,0.0,110.0,101.6,108.0,103.7,110.0,114.0,108.33,108.36,107.03,106.84,108.56,108.07,107.48,107.55,SIDEWAYS,SIDEWAYS,SIDEWAYS,62.9002,0.1352,0.0037,LOW,176.0079,100.0,0.0,1224.0,937.33,988.5,132871.8,101684.53,107072.4,White Marubozu,Bullish Harami,Three White Soldiers,0.0735,0.0139,0.0046,54500.0,162500.0,303120.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-15
37,223,109.5,0.0,0.0,109.5,109.5,109.5,0.0,110.0,101.6,108.0,103.7,110.0,114.0,108.25,108.32,106.97,106.85,108.46,108.01,107.44,107.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,62.9002,0.0969,0.004,LOW,223.8894,83.3333,0.0,1217.0,963.33,1016.5,132087.3,104473.53,110082.15,White Marubozu,Bullish Harami,None,0.0735,0.0139,0.0046,54500.0,162500.0,357370.0,418389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-14
38,221,108.0,-1.0,-0.0092,108.0,108.0,108.0,0.0,110.0,101.2,107.5,103.7,110.0,114.0,107.88,106.49,105.52,107.17,107.99,106.92,106.53,107.18,UPTREND,SIDEWAYS,SIDEWAYS,51.7597,0.7637,0.0092,LOW,16.165,55.5556,-66.6667,706.0,538.0,449.5,76081.9,57949.13,48308.05,White Marubozu,None,Three White Soldiers,0.0588,-0.0092,-0.0092,54509.0,54509.0,54509.0,114619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-03
39,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.5,103.7,109.0,114.0,108.38,107.65,106.55,107.02,108.2,107.71,107.15,107.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.14,0.0048,LOW,-66.2177,50.0,-50.0,1504.0,1065.33,854.0,162692.0,115268.0,92406.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-15
40,221,109.0,0.5,0.0046,109.0,109.0,109.0,0.0,110.0,101.2,108.0,103.7,110.0,114.0,108.25,106.74,105.71,107.13,108.13,107.13,106.67,107.23,UPTREND,SIDEWAYS,SIDEWAYS,56.9365,0.6655,0.0074,LOW,82.4417,50.0,-33.3333,711.0,902.0,717.5,76848.9,97294.93,77374.85,White Marubozu,None,Three White Soldiers,0.0686,0.0,0.0093,6510.0,61019.0,61019.0,83921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-11
41,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.95,103.7,108.5,112.0,108.08,108.06,106.79,106.89,108.09,107.79,107.28,107.45,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0005,0.0029,LOW,-30.303,50.0,-50.0,726.0,876.0,1054.5,78402.3,94570.87,114013.65,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,108000.0,309380.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-31
42,223,108.0,0.0,0.0,108.0,108.0,108.0,108000.0,110.0,101.6,107.75,103.7,109.0,114.0,108.23,108.0,106.72,106.94,108.12,107.76,107.23,107.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0338,0.0036,LOW,-44.4865,50.0,-50.0,470.0,1137.33,900.0,50708.0,123004.67,97358.5,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,216220.0,362790.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-25
43,221,108.0,0.0,0.0,108.0,108.0,108.0,0.0,112.0,101.2,107.2,103.1,109.9,114.0,106.92,106.11,105.17,107.29,107.05,106.3,106.19,107.06,UPTREND,SIDEWAYS,SIDEWAYS,55.5161,0.5292,0.0085,LOW,79.8982,96.124,0.0,724.0,839.33,692.0,77900.8,89695.8,73906.8,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0056,0.0,0.0,0.0,2102.0,91010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-22
44,223,109.0,0.0,0.0,109.0,109.0,109.0,0.0,110.0,101.6,107.95,103.7,110.0,114.0,108.18,108.23,106.85,106.88,108.26,107.88,107.34,107.48,SIDEWAYS,SIDEWAYS,SIDEWAYS,63.937,0.027999999999999997,0.0031,LOW,206.0606,83.3333,0.0,724.0,661.33,1114.0,78315.3,71472.2,120503.65,White Marubozu,Bullish Harami,Three White Soldiers,0.0686,0.0093,0.0093,0.0,108000.0,309380.0,363889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-08
45,223,108.0,0.0,0.0,108.0,108.0,108.0,108000.0,110.0,101.6,107.75,103.7,109.0,114.0,108.23,108.0,106.72,106.94,108.12,107.76,107.23,107.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.0338,0.0036,LOW,-44.4865,50.0,-50.0,470.0,1137.33,900.0,50708.0,123004.67,97358.5,White Marubozu,Bullish Harami,None,0.0588,0.0,0.0,108000.0,216220.0,362790.0,365991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-24
46,221,109.0,0.0,0.0,109.0,109.0,109.0,0.0,110.0,101.2,108.5,103.7,110.0,114.0,108.46,106.91,105.88,107.12,108.32,107.33,106.8,107.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.3737,0.6032,0.0065,LOW,62.61600000000001,61.1111,-33.3333,749.0,679.33,735.5,80988.5,73436.6,79348.9,White Marubozu,Bullish Harami,Three White Soldiers,0.0686,0.0,0.0046,60760.0,115269.0,115269.0,138171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-18
47,221,109.0,0.0,0.0,109.0,109.0,109.0,0.0,110.0,101.2,108.0,103.7,110.0,114.0,107.78,106.45,105.49,107.19,107.99,106.87,106.5,107.18,UPTREND,SIDEWAYS,SIDEWAYS,57.0471,0.7606,0.0091,LOW,100.4921,77.7778,-33.3333,721.0,535.33,669.0,77681.9,57659.47,71566.05,White Marubozu,Bullish Harami,Three White Soldiers,0.0686,0.0,0.0,54509.0,54509.0,56611.0,114619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-02
48,221,109.0,0.5,0.0046,109.0,109.0,109.0,0.0,110.0,101.2,108.0,103.7,110.0,114.0,108.25,106.74,105.71,107.13,108.13,107.13,106.67,107.23,UPTREND,SIDEWAYS,SIDEWAYS,56.9365,0.6655,0.0074,LOW,82.4417,50.0,-33.3333,711.0,902.0,717.5,76848.9,97294.93,77374.85,White Marubozu,None,Three White Soldiers,0.0686,0.0,0.0093,6510.0,61019.0,61019.0,83921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-12
49,223,109.0,1.0,0.0093,108.0,108.0,109.0,0.0,110.0,101.6,107.95,103.7,110.0,114.0,108.13,108.12,106.82,106.89,108.18,107.84,107.31,107.47,SIDEWAYS,SIDEWAYS,SIDEWAYS,63.937,0.0089,0.0034,LOW,162.963,66.6667,0.0,767.0,892.0,1101.0,82902.3,96346.87,119071.65,White Marubozu,None,Three White Soldiers,0.0686,0.0093,0.0093,108000.0,108000.0,309380.0,363889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-07
50,223,108.0,0.0,0.0,108.0,108.0,108.0,0.0,110.0,101.6,107.5,103.7,109.0,114.0,108.38,107.65,106.55,107.02,108.2,107.71,107.15,107.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4064,0.14,0.0048,LOW,-66.2177,50.0,-50.0,1504.0,1065.33,854.0,162692.0,115268.0,92406.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0588,0.0,0.0,0.0,140620.0,255889.0,257991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-11
